L_actual,L_predicted,W_actual,W_predicted,F_actual,F_predicted,S11_actual,S11_predicted
20.24,20.394789076699453,24.66,28.193568917005905,3.47,3.599931416641539,-18.69307317,-18.35931550906389
20.64,20.944649873255912,24.66,27.23264321529132,3.42,3.5434492347062587,-18.55505464,-19.110685039049713
21.04,21.47374597513226,24.66,27.886640696393442,3.36,3.2357836114620113,-19.13398009,-18.34567531335051
21.44,21.197110676917873,24.66,25.3162066181103,3.26,3.2539912013103276,-5.405027151,-7.742496168910293
21.84,21.848694157668433,24.66,24.895864209349384,3.2,3.1999461157843143,-5.262848175,-5.734237784490688
22.24,22.412625510636644,24.66,24.75753256744065,3.14,3.131905401730819,-5.146533824,-3.7736021325399633
22.64,22.89201649927236,24.66,24.91513233150181,3.08,3.072133301140184,-5.067755771,-2.0104349007306155
23.04,23.247954000782556,24.66,24.355682793146116,3.03,3.033322794175092,-5.028289801,-2.6876533901377115
23.44,23.584536551234123,24.66,24.15432882409368,2.98,3.006208581334704,-5.013352019,-3.2636518653307576
23.84,23.923583298061203,24.66,24.130866061736015,2.93,2.9280142636139317,-4.971815142,-3.732314931723522
24.24,24.26449780175426,24.66,24.309595247221296,2.88,2.8572107516388314,-4.945376001,-4.159172370127635
24.64,24.637724894555504,24.66,24.639720001912792,2.83,2.8223876892238877,-4.949676689,-4.694078569969861
25.04,24.955758346563016,24.66,24.604573451404576,2.79,2.7580304965536016,-4.937712067,-5.2701836832857225
25.44,25.329548063933544,24.66,24.781913626080495,2.75,2.730189674826306,-4.951742162,-5.496053139242576
25.84,25.836937669131657,24.66,24.64478356060863,2.7,2.665634643768044,-4.9443645,-6.447525017225416
26.24,26.28331941619217,24.66,24.11418287253764,2.66,2.5770218724151164,-4.925172821,-7.321639260830125
16.24,16.682851502393532,25.06,26.08690684470639,4.18,4.0553772738944645,-31.72756834,-28.42486247533816
16.64,16.961448302352437,25.06,24.53138456454326,4.11,4.240767559634605,-26.97070995,-27.53587593344855
17.04,17.13023707244247,25.06,24.937466241259244,4.02,4.1915067793102025,-25.99165814,-28.258214920497267
17.44,17.637146850085628,25.06,24.872124432135024,3.95,4.02507315763205,-26.08045724,-27.379643441498047
17.84,17.70823130539611,25.06,24.92131508620514,3.88,3.892578339263764,-24.77861144,-26.624571442691376
18.24,18.173440201060657,25.06,25.730574361703475,3.8,3.709817314776501,-24.16439008,-26.5547448702564
18.64,18.49564199044653,25.06,26.16034846562252,3.73,3.5738262000172654,-23.26806998,-25.652602183487033
19.04,18.986763444057942,25.06,26.703835887965397,3.66,3.4280956106390477,-22.68519974,-24.534294625598704
19.44,19.299684639174302,25.06,26.651190281510935,3.6,3.401008817033926,-21.70756248,-23.563896210951498
19.84,19.83098314527706,25.06,27.68071433874138,3.53,3.417567371406676,-20.85087094,-21.918897529452806
20.24,20.39617398820519,25.06,27.8678008265706,3.47,3.408459895240867,-20.33967943,-20.928326372028096
20.64,20.888471008101988,25.06,28.404733740797383,3.41,3.662150817087877,-19.12005663,-19.90897861306439
21.04,21.614501661255417,25.06,29.12594827976136,3.35,3.4634853985494374,-19.56417692,-18.730589391168905
21.44,21.094769724148136,25.06,25.602468618671992,3.26,3.2916174661017976,-5.552561333,-10.306457581900759
21.84,21.829655189792902,25.06,25.108397726275143,3.2,3.193399127741486,-5.365658464,-8.080112541647395
22.24,22.37817816079587,25.06,25.041378823996638,3.14,3.15274489862486,-5.275009535,-5.838985119218705
22.64,22.878257634436522,25.06,25.20124577912793,3.08,3.0852176961793703,-5.18739005,-3.73240003499086
23.04,23.242147030176056,25.06,24.631393961797585,3.03,3.0418798954719932,-5.142232076,-4.017002905107802
23.44,23.64661660505044,25.06,25.312510518662748,2.97,3.0060358148489286,-5.117470083,-2.521106833795784
23.84,23.985532688913736,25.06,25.204007808773895,2.92,2.951543971722913,-5.087645327,-3.0324820003297646
24.24,24.259896793451844,25.06,24.651038327559945,2.88,2.8999870676066166,-5.067106198,-4.356658063625218
24.64,24.62318741159652,25.06,24.96871853499033,2.83,2.856273230559509,-5.05649016,-4.573406530747889
25.04,24.93459383739355,25.06,24.931142919769627,2.79,2.803237495472331,-5.041423412,-5.01029262560769
25.44,25.37659175124827,25.06,25.125203005343792,2.74,2.7622673544915415,-5.035909081,-5.605774339957861
25.84,25.772481607154987,25.06,24.9598289506539,2.7,2.714131490379714,-5.026105646,-6.089574568759417
26.24,26.24099959000705,25.06,24.553857875827816,2.66,2.6860844792040552,-5.03020199,-7.158208337059477
